canonical_path,extension,size_bytes,line_count,py_functions,py_classes,import_in_repo_count,import_external_count,contains_phase,contains_memory,contains_reduction,contains_truth,contains_holonomy,contains_tau,contains_registry,contains_constraint,contains_potential,contains_orchestrator
ciel_omega/memory/identity_types.py,.py,6532,165,7,4,0,4,1,1,0,1,0,0,1,0,1,0
ciel_omega/memory/long_term.py,.py,1715,56,4,1,0,6,0,1,0,0,0,0,0,0,0,0
ciel_omega/memory/memory_log.py,.py,1369,46,4,1,0,6,0,1,0,0,0,0,1,0,0,0
ciel_omega/memory/monolith/__init__.py,.py,467,12,0,0,0,3,0,1,0,0,0,0,0,0,0,1
ciel_omega/memory/monolith/cli.py,.py,4555,134,7,0,0,11,1,1,0,0,0,0,0,0,0,1
ciel_omega/memory/monolith/data_types.py,.py,1145,50,1,2,0,5,0,1,0,0,0,0,1,0,0,0
ciel_omega/memory/monolith/defaults.py,.py,2828,92,5,0,0,4,1,1,0,0,0,0,0,0,0,0
ciel_omega/memory/monolith/orchestrator.py,.py,5647,128,9,1,0,11,0,1,1,0,0,0,0,0,0,1
ciel_omega/memory/monolith/rules_engine.py,.py,2744,79,5,1,0,6,0,1,0,0,0,0,0,0,0,0
ciel_omega/memory/monolith/tmp_processor.py,.py,3420,77,4,1,0,6,1,1,0,0,0,0,0,0,0,0
ciel_omega/memory/monolith/tsm_storage.py,.py,3297,95,6,1,0,6,0,1,0,0,0,0,1,0,0,0
ciel_omega/memory/monolith/unified_memory.py,.py,27895,733,45,7,0,23,1,1,1,0,0,0,1,0,0,1
ciel_omega/memory/monolith/wpm_storage.py,.py,3184,88,6,1,0,9,0,1,0,0,0,0,1,0,0,0
ciel_omega/memory/orchestrator.py,.py,17533,374,15,1,13,5,1,1,0,0,1,0,1,0,0,1
ciel_omega/memory/orchestrator_types.py,.py,1520,62,0,4,0,3,1,1,0,0,1,0,1,0,0,1
ciel_omega/memory/perceptual_memory.py,.py,9497,222,13,1,2,7,1,1,0,0,0,1,1,0,0,0
ciel_omega/memory/perceptual_types.py,.py,1537,65,1,3,0,3,1,1,0,0,0,0,1,0,0,0
ciel_omega/memory/potential.py,.py,17256,462,13,1,3,3,1,1,0,0,1,1,1,1,1,0
ciel_omega/memory/procedural_memory.py,.py,14702,328,21,1,3,8,1,1,0,0,0,0,1,0,0,0
ciel_omega/memory/procedural_types.py,.py,2851,108,2,4,0,3,1,1,0,0,0,0,1,0,0,0
ciel_omega/memory/semantic_memory.py,.py,13230,326,20,1,3,8,1,1,0,0,0,0,1,0,0,0
ciel_omega/memory/semantic_types.py,.py,2710,103,3,4,0,3,1,1,0,0,0,0,1,0,0,0
ciel_omega/memory/synchronizer.py,.py,700,30,1,1,0,3,0,1,0,0,0,0,0,0,0,0
ciel_omega/memory/working_memory.py,.py,9430,224,14,1,2,8,1,1,0,0,0,1,1,0,0,0
ciel_omega/memory/working_types.py,.py,1386,61,1,3,0,3,1,1,0,0,0,0,1,0,0,0
ciel_omega/monolit.py,.py,12176,272,13,0,0,14,1,0,0,1,1,1,0,1,0,0
ciel_omega/orbital/README.md,.md,586,21,0,0,0,0,0,0,0,0,0,1,0,0,0,0
ciel_omega/orbital/__init__.py,.py,364,7,0,0,6,0,0,0,0,0,0,0,1,0,1,0
ciel_omega/orbital/dynamics.py,.py,9089,178,6,0,3,3,1,0,0,0,1,1,0,0,1,0
ciel_omega/orbital/extract_geometry.py,.py,11370,286,15,0,0,7,1,1,0,0,1,1,0,1,0,0
ciel_omega/orbital/global_pass.py,.py,4922,104,3,0,4,4,1,0,0,0,0,1,1,0,1,0
ciel_omega/orbital/metrics.py,.py,13244,302,32,0,1,5,1,0,0,0,1,1,0,0,1,0
ciel_omega/orbital/model.py,.py,1285,55,2,4,0,3,1,0,0,0,1,1,0,0,0,0
ciel_omega/orbital/phase_control.py,.py,2836,78,6,0,0,2,1,0,0,0,0,0,0,0,0,0
ciel_omega/orbital/registry.py,.py,1712,36,3,0,1,5,1,0,0,0,0,1,0,0,0,0
ciel_omega/orbital/rh_control.py,.py,4224,123,4,3,0,2,0,1,0,0,0,0,0,1,0,0
ciel_omega/phase_equation_of_motion.py,.py,35749,893,33,1,0,5,1,0,0,1,1,0,1,1,0,0
ciel_omega/phase_sweep_analysis.py,.py,9407,241,8,0,0,4,1,0,0,1,1,0,1,1,0,0
ciel_omega/relational_formalism.py,.py,18337,449,17,11,0,5,1,0,0,1,0,0,0,1,1,0
ciel_omega/requirements.txt,.txt,472,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ciel_omega/resonance/__init__.py,.py,248,5,0,0,0,2,0,0,0,0,0,0,0,0,0,0
ciel_omega/resonance/multiresonance_tensor.py,.py,1030,38,3,1,0,4,0,0,0,0,0,0,0,0,0,0
ciel_omega/resonance/resonance_operator.py,.py,572,27,1,1,1,3,0,0,0,0,0,0,0,0,0,0
ciel_omega/resonance/resonance_parallel.py,.py,1400,43,1,2,0,7,0,0,0,0,0,0,0,0,0,0
ciel_omega/runtime/AGENT.md,.md,481,20,0,0,0,0,0,1,0,0,0,0,0,1,0,0
ciel_omega/runtime/README.md,.md,415,24,0,0,0,0,0,1,0,0,0,0,1,1,0,0
ciel_omega/runtime/__init__.py,.py,85,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ciel_omega/runtime/agent/__init__.py,.py,89,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ciel_omega/runtime/agent/adam_core.py,.py,32772,813,36,7,0,8,1,1,1,0,0,0,1,0,0,0
ciel_omega/runtime/agent/adam_memory.py,.py,4703,130,12,2,0,8,0,1,0,0,0,0,1,0,0,0
ciel_omega/runtime/agent/resonance_optimizer.py,.py,2941,79,4,1,0,4,0,1,0,0,0,0,1,0,0,0
